n	name	score	cards	games	flags	short	alt1
249	Lugia	13.35	12	4		It is said to be the guardian of the seas. It is rumored to have been seen on the night of a storm.	It is said that it quietly spends its time deep at the bottom of the sea, because its powers are too strong.
250	Ho-Oh	9.3	4	3		Legends claim this Pokémon flies the world's skies continuously on its magnificent, seven-colored wings.	It will reveal itself before a pure-hearted Trainer by shining its bright, rainbow-colored wings.
251	Celebi	9.86	5	8		It has the power to travel across time, but it is said to appear only in peaceful times.	This Pokémon wanders across time. Grass and trees flourish in the forests in which it has appeared.
252	Treecko	9.86	5	7		The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings.	Small hooks on the bottom of its feet catch on walls and ceilings.
253	Grovyle	11.32	8	8		It lives in dense jungles. While closing in on its prey, it leaps from branch to branch.	Its strongly developed thigh muscles give it astounding agility and jumping performance.
254	Sceptile	8.6	4	3		It agilely leaps about the jungle and uses the sharp leaves on its arms to strike its prey.	The leaves that grow on its arms can slice down thick trees.
255	Torchic	9.25	10	1		A fire burns inside, so it feels very warm to hug.	A fire burns inside, so it feels very warm to hug.
256	Combusken	8.2	4	8		Its kicking mastery lets it loose 10 kicks per second.	During a battle, the hot flame in its body increases.
257	Blaziken	7.5	3	3		When facing a tough foe, it looses flames from its wrists.	It can clear a 30-story building in a leap. Its fiery punches scorch its foes.
258	Mudkip	10.7	9	8		To alert it, the fin on its head senses the flow of water.	Its large tail fin propels it through water with powerful acceleration.
259	Marshtomp	7.8	3	3		Living on muddy ground that provides poor footing has made its legs sturdy.	Its sturdy legs give it sure footing, even in mud.
260	Swampert	9.86	5	8		It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.	Its arms are rock-hard. With one swing, they can batter down its foe. It makes its nest on beautiful beaches.
261	Poochyena	9.86	5	8		A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted.	It has a very tenacious nature. Its acute sense of smell lets it chase a chosen prey without ever losing track.
262	Mightyena	8.96	5	3		It will always obey the commands of a skilled Trainer.	It chases down prey in a pack of around ten. They defeat foes with perfectly coordinated teamwork.
263	Zigzagoon	7.4	4	1		A Pokémon with abundant curiosity. It shows an interest in everything, so it always zigzags.	It walks in zigzag fashion. It is good at finding items in the grass and even in the ground.
264	Linoone	7.36	2	8		It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails.	It uses its explosive speed and razor-sharp claws to bring down prey.
265	Wurmple	7.6	4	3		It lives among the tall grass and in forests.	Often targeted by bird Pokémon, it desperately resists by releasing poison from its tail spikes.
266	Silcoon	8.4	3	6		It wraps silk around the branches of a tree. It drinks rainwater on its silk while awaiting evolution.	It drinks dew that collects on its silk and waits for evolution.
267	Beautifly	8.0	4	2		It has an aggressive nature. It stabs prey with its long, narrow mouth to drain the prey's fluids.	Despite its looks, it is aggressive. It jabs with its long, thin mouth if disturbed while collecting pollen.
268	Cascoon	8.86	5	6		It never forgets any attack it endured while in the cocoon.	Its body, which is made of soft silk, hardens over time.
269	Dustox	7.2	3	2		A nocturnal Pokémon. Drawn by streetlights, they messily eat the leaves of trees lining boulevards.	It violently flutters its wings to scatter toxic dust when attacked.
270	Lotad	9.9	4	4		It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.	It looks like an aquatic plant and serves as a ferry to Pokémon that can't swim.
271	Lombre	9.86	5	8		It has a mischievous spirit. If it spots an angler, it will tug on the fishing line to interfere.	It lives at the water's edge where it is sunny.
272	Ludicolo	9.9	4	4		The rhythm of bright, festive music activates Ludicolo's cells, making it more powerful.	If it hears festive music, all its muscles fill with energy.
273	Seedot	9.9	7	8		When it dangles from a tree branch, it looks just like an acorn.	It attaches itself to a tree branch using the top of its head.
274	Nuzleaf	10.42	6	4		It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy.	The sound of its grass flute makes its listeners uneasy.
275	Shiftry	10.12	6	4		A Pokémon that was feared as a forest guardian.	By flapping its leafy fan, it can whip up gusts of 100 ft/second that can level houses.
276	Taillow	8.2	4	8		It has a gutsy spirit that makes it bravely take on tough foes.	It dislikes cold seasons. They migrate to other lands in search of warmth, flying over 180 miles a day.
277	Swellow	6.8	3	3		It dives at a steep angle as soon as it spots its prey.	If its two tail feathers are standing at attention, it is proof of good health.
278	Wingull	7.6	4	3		It soars high in the sky, riding on updrafts like a glider.	It makes its nest on steep sea cliffs. Riding updrafts, it soars to great heights.
279	Pelipper	9.2	4	5		It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill.	It is a flying transporter that carries small Pokémon in its beak.
280	Ralts	11.7	9	7		If its horns capture the warm feelings of people or Pokémon, its body warms up slightly.	It is highly attuned to the emotions of people and Pokémon.
281	Kirlia	11.32	8	6		If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about.	It has a psychic power that enables it to distort the space around it and see into the future.
282	Gardevoir	10.56	5	4		It has the power to predict the future. Its power peaks when it is protecting its Trainer.	To protect its Trainer, it will expend all its psychic power to create a small black hole.
283	Surskit	9.2	4	8		It appears as if it is skating on water. It draws prey with a sweet scent from the tip of its head.	They usually live on ponds, but after an evening shower, they may appear on puddles in towns.
284	Masquerain	8.4	3	8		Its antennae have eye patterns on them. Its four wings enable it to hover and fly in any direction.	It flaps its four wings to hover and fly freely in any direction–to and fro and sideways.
285	Shroomish	9.3	4	3		It prefers damp places. By day it remains still in the forest shade. It releases toxic powder from its head.	It spouts poison spores from the top of its head.
286	Breloom	8.86	5	8		Its short arms stretch when it throws punches.	It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.
287	Slakoth	7.8	3	3		The way Slakoth lolls around makes anyone who watches it feel like doing the same.	It spends nearly all its time in a day sprawled out.
288	Vigoroth	6.8	3	3		Its stress level rises if it cannot keep moving constantly.	Its heartbeat is fast and its blood so agitated that it can't sit still for one second.
289	Slaking	8.4	3	5		The world's laziest Pokémon. When it is lounging, it is actually saving energy for striking back.	The world's laziest Pokémon. It moves to another spot when there's no food left within its reach.
290	Nincada	8.4	3	7		It grows underground, sensing its surroundings using antennae instead of its virtually blind eyes.	It can sometimes live underground for more than 10 years.
291	Ninjask	8.86	5	8		Because it moves so quickly, it sometimes becomes unseeable.	Its cry leaves a lasting headache if heard for too long.
292	Shedinja	8.4	3	8		A discarded bug shell that came to life. Peering into the crack on its back is said to steal one's spirit.	A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.
293	Whismur	8.6	4	3		If it senses danger, it scares the foe by crying out with the volume of a jet-plane engine.	Usually, its cries are like quiet murmurs. If frightened, it shrieks at the same volume as a jet plane.
294	Loudred	9.42	6	8		The shock waves from its cries can tip over trucks.	It shouts loudly by inhaling air, and then using its well-developed stomach muscles to exhale.
295	Exploud	8.4	3	8		Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.	Its roar in battle shakes the ground like a tremor–or like an earthquake has struck.
296	Makuhita	8.2	4	7		It toughens its body by slamming into thick trees.	It toughens up by slamming into thick trees over and over.
297	Hariyama	7.4	3	8		It loves to match power with big-bodied Pokémon.	It stomps on the ground to build power. It can send a 10-ton truck flying with a straight-arm punch.
298	Azurill	6.16	2	2		A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.	Its tail bounces like a rubber ball. It flings that tail around to fight opponents bigger than itself.
299	Nosepass	7.8	3	3		When endangered, it may protect itself by raising its magnetism and drawing iron objects to its body.	Its magnetic nose consistently faces north. Travelers check Nosepass to get their bearings.
300	Skitty	10.42	6	6		It can't stop itself from chasing moving things, and it runs in a circle, chasing its own tail.	It shows its cute side by chasing its own tail until it gets dizzy.
301	Delcatty	9.42	6	6		It is highly popular among female Trainers for its sublime fur.	It dislikes dirty places. It often searches for a comfortable place in which to groom itself.
302	Sableye	10.3	7	3		It dwells in the darkness of caves. It uses its sharp claws to dig up gems to nourish itself.	It hides in the darkness of caves. Its diet of gems has transformed its eyes into gemstones.
303	Mawile	10.72	8	3		It chomps with its gaping mouth. Its huge jaws are actually steel horns that have been transformed.	Attached to its head is a huge set of jaws formed by horns.
304	Aron	9.86	5	6		It usually lives deep in mountains. However, hunger may drive it to eat railroad tracks and cars.	When it evolves, it sheds the steel carapace that covered its whole body and develops a new one.
305	Lairon	8.6	4	3		It loves iron ore. Groups of them fight for territory by bashing one another with their steel bodies.	For food, it digs up iron ore. It smashes its steely body against others to fight over territory.
306	Aggron	9.2	4	6		While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns.	Aggron has a horn sharp enough to perforate thick iron sheets.
307	Meditite	9.7	7	2		It eats just one berry a day. By enduring hunger, its spirit is tempered and made sharper.	It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.
308	Medicham	10.3	7	3		Through yoga training, it gained the psychic power to predict its foe's next move.	It elegantly avoids attacks with dance-like steps, then launches a devastating blow in the same motion.
309	Electrike	11.02	8	4		It stores static electricity in its fur for discharging.	Using electricity stored in its fur, it stimulates its muscles to heighten its reaction speed.
310	Manectric	12.05	10	8		It discharges electricity from its mane. It creates a thundercloud overhead to drop lightning bolts.	It stimulates its own muscles with electricity, so it can move quickly.
311	Plusle	9.9	7	8		It cheers on friends with pom-poms made of sparks.	It absorbs electricity from telephone poles. It shorts out its body to create crackling noises.
312	Minun	11.7	9	8		It cheers on friends. If its friends are losing, its body lets off more and more sparks.	Exposure to electricity from Minun and Plusle promotes blood circulation and relaxes muscles.
313	Volbeat	7.46	2	3		It lives around clean ponds. At night, its rear lights up. It converses with others by flashing its light.	It communicates with others by lighting up its rear at night.
314	Illumise	6.4	3	8	names:Volbeat	With its sweet aroma, it guides Volbeat to draw signs with light in the night sky.	Its fragrance attracts a swarm of Volbeat, so they draw over 200 patterns in the night sky.
315	Roselia	9.3	4	3		Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.	The more healthy the Roselia, the more pleasant its flowers' aroma.
316	Gulpin	6.0	1	3		There is nothing its stomach can't digest. While it is digesting, vile, overpowering gases are expelled.	Almost all its body is its stomach. Its harsh digestive juices quickly dissolve anything it swallows.
317	Swalot	8.4	3	8		It swallows anything whole. It sweats toxic fluids from its follicles to douse foes.	It gulps anything that fits in its mouth. Its special enzymes can dissolve anything.
318	Carvanha	5.6	3	1		With its sturdy jaws and fangs, it can easily chomp wooden boats to splinters.	These Pokémon have sharp fangs and powerful jaws.
319	Sharpedo	5.9	1	8		Its fangs rip through sheet iron. It swims at 75 mph and is known as "The Bully of the Sea."	It drinks in seawater and jets it from its rear to propel itself.
320	Wailmer	7.66	5	2		It shows off by spraying jets of seawater from the nostrils above its eyes.	On sunny days, it lands on beaches to bounce like a ball and play.
321	Wailord	8.4	3	6		The biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath.	It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
322	Numel	9.2	4	6		Its humped back stores intensely hot magma. In rain, the magma cools, slowing its movement.	The magma in its body reaches 2,200 degrees Fahrenheit.
323	Camerupt	8.6	4	3		The volcanoes on its back have a major eruption every 10 years–or whenever it becomes really angry.	It has volcanoes on its back. If magma builds up in its body, it shudders, then erupts violently.
324	Torkoal	10.42	6	9		It burns coal inside its shell for energy. It blows out black soot if it is endangered.	You find abandoned coal mines full of them. They dig tirelessly in search of coal.
325	Spoink	7.6	4	3		It bounces around on its tail to keep its heart pumping.	It bounces constantly, using its tail like a spring.
326	Grumpig	6.8	3	3		It uses black pearls to amplify its psychic power.	It uses black pearls to amplify its psychic power.
327	Spinda	8.2	4	8		No two Spinda have the same pattern of spots.	The chances of two Spinda having identical spot patterns is less than one in four billion.
328	Trapinch	7.36	2	5		It makes a conical pit in desert sand and lies in wait at the bottom for prey to come tumbling down.	It makes an inescapable conical pit and lies in wait at the bottom for prey to come tumbling down.
329	Vibrava	9.2	4	4		The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.	It violently shudders its wings, generating ultrasonic waves to induce headaches in people.
330	Flygon	9.26	5	3		Known as "The Desert Spirit," this Pokémon hides in the sandstorms it causes by beating its wings.	This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.
331	Cacnea	8.96	5	3		It prefers harsh environments such as deserts.	By storing water in its body, this desert dweller can survive for 30 days without water.
332	Cacturne	9.2	4	8		It becomes active at night, seeking prey that is exhausted from the day's desert heat.	Packs of them follow travelers through the desert until the travelers can no longer move.
333	Swablu	11.8	9	3		It constantly grooms its cotton-like wings. It takes a shower to clean itself if it becomes dirty.	It can't relax if it or its surroundings are not clean.
334	Altaria	10.45	10	3		On sunny days, it flies freely through the sky and blends into the clouds.	If it bonds with a person, it will gently envelop the friend with its soft wings, then hum.
335	Zangoose	4.8	3	3	names:Seviper	Its fur would all stand on end if it smelled a Seviper nearby.	It has feuded with Seviper for many generations.
336	Seviper	6.9	3	2		It sharpens its swordlike tail on hard rocks.	Constant polishing makes the edge of the blade on its tail extremely sharp.
337	Lunatone	9.2	4	6		Because it turns active on nights of the full moon, it is said to have some link to the lunar phases.	The phase of the moon apparently has some effect on its power.
338	Solrock	9.26	5	3		When it rotates itself, it gives off light similar to the sun, thus blinding its foes.	Solar energy is the source of its power, so it is strong during the daytime.
339	Barboach	6.6	3	1		Its two whiskers provide a sensitive radar. Even in muddy waters, it can detect its prey's location.	Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud.
340	Whiscash	9.9	4	4		It makes its nest at the bottom of swamps. It will eat anything—if it is alive, Whiscash will eat it.	It is extremely protective of its territory. If any foe approaches, it attacks using vicious tremors.
341	Corphish	7.4	3	6		Its hardy vitality enables it to adapt to any environment.	No matter how dirty the water in the river, it will adapt and thrive.
342	Crawdaunt	7.36	2	6		It is a ruffian that uses its pincers to pick up and toss out other Pokémon from its pond.	A rough customer that wildly flails its giant claws.
343	Baltoy	9.86	5	6		It moves by spinning on its foot. It is a rare Pokémon that was discovered in ancient ruins.	It was discovered in ancient ruins. While moving, it constantly spins. It stands on one foot even when asleep.
344	Claydol	8.46	5	3	deictic	This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago.	An ancient clay figurine that came to life as a Pokémon from exposure to a mysterious ray of light.
345	Lileep	7.36	2	8		It lived on the seafloor 100 million years ago and was reanimated scientifically.	In ancient times, it lived in warm seas.
346	Cradily	7.36	2	8		It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches.	It ensnares prey with its eight tentacles. It then melts the prey with a strong acid before feeding.
347	Anorith	6.36	2	8		A Pokémon ancestor that was reanimated from a fossil.	This Pokémon was restored from a fossil.
348	Armaldo	5.9	1	7		It went ashore after evolving. Its entire body is clad in a sturdy armor.	Protected by a hard shell, its body is very sturdy.
349	Feebas	9.2	4	6		It is a shabby and ugly Pokémon. However, it is very hardy and can survive on little water.	Although unattractive and unpopular, this Pokémon's marvelous vitality has made it a subject of research.
350	Milotic	7.4	3	5		Its lovely scales are described as rainbow colored.	Milotic has provided inspiration to many artists.
351	Castform	9.2	4	5		Its appearance changes with the weather. Recently, its molecules were found to be just like water.	Its form changes depending on the weather. The rougher conditions get, the rougher Castform's disposition!
352	Kecleon	8.4	3	8		It can freely change its body's color. The zigzag pattern on its belly doesn't change, however.	It changes its shading to match its surroundings so it can sneak up on prey.
353	Shuppet	10.42	6	6		It loves vengeful emotions and hangs in rows under the eaves of houses where vengeful people live.	There's a proverb that says, "Shun the house where Shuppet gather in the growing dusk."
354	Banette	7.5	3	3		Strong feelings of hatred turned a puppet into a Pokémon.	Resentment at being cast off made it spring into being.
355	Duskull	8.82	6	3		It doggedly pursues its prey wherever it goes.	If it finds bad children who won't listen to their parents, it will spirit them away—or so it's said.
356	Dusclops	8.5	3	3		Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole.	Its body is hollow. It is said that those who look into its body are sucked into the void.
357	Tropius	7.9	3	2		It lives in tropical jungles. The bunch of fruit around its neck is delicious. The fruit grows twice a year.	The bunch of fruit around its neck ripens twice a year and is delicious.
358	Chimecho	8.66	5	2		Emitting ultrasonic cries, it floats on winds to travel great distances.	Its cries echo inside its hollow body to emerge as beautiful notes for startling and repelling foes.
359	Absol	6.46	2	3		It appears when it senses an impending natural disaster.	Swift as the wind, Absol races through fields and mountains.
360	Wynaut	6.6	1	4		It tends to move in a pack with others. They cluster in a tight group to sleep in a cave.	It grows strong by pushing up against others en masse.
361	Snorunt	9.2	4	6		It is said that several Snorunt gather under giant leaves and live together in harmony.	In the snow country, certain folklore says a house will prosper if a Snorunt lives there.
362	Glalie	8.4	3	5		It prevents prey from escaping by instantaneously freezing moisture in the air.	It has a body of ice that won't melt, even with fire.
363	Spheal	8.4	3	5		It rolls across ice floes to reach shore because its body is poorly shaped for swimming.	Its body is covered in fluffy fur. The fur keeps it from feeling cold while it is rolling on ice.
364	Sealeo	8.4	3	5		It habitually spins things on its nose. By doing so, it learns textures and odors.	It has a very sensitive nose. It touches new things with its nose to examine them.
365	Walrein	9.86	5	6		It shatters ice with its big tusks. Its thick blubber repels not only the cold, but also enemy attacks.	It shatters drift ice with its strong tusks. Its thick layer of blubber repels enemy attacks.
366	Clamperl	7.46	2	3		It is protected by a sturdy shell. Once in a lifetime, it makes a magnificent pearl.	It makes a single pearl during its lifetime. The pearl is said to amplify psychic power.
367	Huntail	8.4	3	8		It lives deep in the sea. With a tail shaped like a small fish, it attracts unsuspecting prey.	It lives deep in the sea where no light ever filters down.
368	Gorebyss	8.5	3	3		Its swimming form is exquisitely elegant. With its thin mouth, it feeds on seaweed that grows between rocks.	It lives at the bottom of the sea. In the springtime, its pink body turns more vivid for some reason.
369	Relicanth	8.86	5	8		A rare Pokémon discovered during a deep-sea exploration.	Discovered by chance during deep-sea explorations, it has not changed since ancient times.
370	Luvdisc	8.4	3	8		It lives in warm seas. It is said that a couple finding this Pokémon will be blessed with eternal love.	Its heart-shaped body makes it popular. In some places, you would give a Luvdisc to someone you love.
371	Bagon	11.32	8	8		Dreaming of one day flying, it practices by leaping off cliffs every day.	With its steel-hard stone head, it headbutts indiscriminately.
372	Shelgon	8.86	5	8		Within its rugged shell, its cells have begun changing.	Its armored body makes all attacks bounce off.
373	Salamence	7.36	2	7		As a result of its long-held dream of flying, its cellular structure changed, and wings grew out.	It's uncontrollable if enraged. It flies around spouting flames and scorching fields and mountains.
374	Beldum	7.4	3	6		It converses with others by using magnetic pulses.	The magnetic force generated by its body repels the ground's natural magnetism, letting it float.
375	Metang	7.86	5	6	names:Beldum	It is formed by two Beldum joining together. Its steel body won't be scratched if it collides with a jet.	It is formed by two Beldum joining together. Its two brains are linked, amplifying its psychic power.
376	Metagross	7.86	5	6	names:Metang	Metang combined to form it. With four brains, it has the intelligence of a supercomputer.	With four linked brains, it's more intelligent than a supercomputer, and it uses calculations to analyze foes.
377	Regirock	8.6	4	3		The same rocks that form its body have been found in ground layers around the world.	Its entire body is made of rock. If any part chips off in battle, it attaches rocks to repair itself.
378	Regice	8.4	3	8		Its body is made of ice from the ice age. It controls frigid air of -328 degrees Fahrenheit.	It is said to have slept in a glacier for thousands of years.
379	Registeel	8.4	3	8		Tempered by pressure underground over tens of thousands of years, its body cannot be scratched.	Its body is said to be harder than any kind of metal.
380	Latias	10.0	7	3		It can telepathically communicate with people.	It communicates using telepathy. Its body is covered in down that refracts light to make it invisible.
381	Latios	9.86	5	8		A highly intelligent Pokémon. By folding back its wings in flight, it can overtake jet planes.	It understands human speech and is highly intelligent.
382	Kyogre	9.9	7	8		It is said to have widened the seas by causing downpours.	A mythical Pokémon said to have swelled the seas with rain and tidal waves.
383	Groudon	8.72	6	3	deictic	This legendary Pokémon is said to represent the land.	Said to have expanded the lands by evaporating water with raging heat.
384	Rayquaza	10.9	7	8		It lives in the ozone layer far above the clouds and cannot be seen from the ground.	It flies in the ozone layer, way up high in the sky.
385	Jirachi	12.36	11	8		It is said to have the ability to grant any wish for just one week every thousand years.	Generations have believed that any wish written on a note on its head will come true when it awakens.
386	Deoxys	11.32	8	8		An alien virus that fell to earth on a meteor underwent a DNA mutation to become this Pokémon.	DNA from a space virus mutated and became a Pokémon.
387	Turtwig	9.3	7	3		It undertakes photosynthesis with its body, making oxygen.	The shell on its back is made of soil. On a very healthy Turtwig, the shell should feel moist.
388	Grotle	9.2	4	7		It knows where pure water wells up. It carries fellow Pokémon there on its back.	It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell.
389	Torterra	8.6	4	3		Small Pokémon occasionally gather on its unmoving back to begin building their nests.	Some Pokémon are born on a Torterra's back and spend their entire life there.
390	Chimchar	8.86	5	4		The gas made in its belly burns from its rear end.	It is very agile. Before going to sleep, it extinguishes the flame on its tail to prevent fires.
391	Monferno	7.6	4	3		It uses ceilings and walls to launch aerial attacks.	It skillfully controls the intensity of the fire on its tail to keep its foes at an ideal distance.
392	Infernape	9.2	4	4		It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.	Its crown of fire is indicative of its fiery nature.
393	Piplup	10.9	7	5		A poor walker, it often falls down. However, its strong pride makes it puff up its chest without a care.	Because it is very proud, it hates accepting food from people.
394	Prinplup	8.4	3	5		Because every Prinplup considers itself to be the most important, they can never form a group.	It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.
395	Empoleon	9.2	4	5		If anyone were to hurt its pride, it would slash them with wings that can cleave through an ice floe.	The three horns that extend from its beak attest to its power.
396	Starly	8.62	6	4	deictic	They flock around mountains and fields, chasing after bug Pokémon.	They flock in great numbers. Though small, they flap their wings with great power.
397	Staravia	8.6	4	3		It lives in forests and fields. Squabbles over territory occur when flocks collide.	Recognizing their own weakness, they always live in a group.
398	Staraptor	7.4	3	5		It never stops attacking even if it is injured.	When Staravia evolve into Staraptor, they leave the flock to live alone.
399	Bidoof	9.3	7	3		It constantly gnaws on logs and rocks to whittle down its front teeth.	With nerves of steel, nothing can perturb it.
400	Bibarel	8.82	6	3		It makes its nest by damming streams with bark and mud.	It busily makes its nest with stacks of branches and roots it has cut up with its sharp incisors.
401	Kricketot	9.2	4	4		When its antennae hit each other, it sounds like the music of a xylophone.	Its legs are short. Whenever it stumbles, its stiff antennae clack with a xylophone-like sound.
402	Kricketune	7.36	2	5		There is a village that hosts a contest based on the amazingly variable cries of this Pokémon.	It signals its emotions with its melodies. Scientists are studying these melodic patterns.
403	Shinx	11.76	11	3		All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.	The extension and contraction of its muscles generates electricity.
404	Luxio	11.92	13	7		Strong electricity courses through the tips of its sharp claws.	Its claws loose electricity with enough amperage to cause fainting.
405	Luxray	11.32	8	4		Luxray's ability to see through objects comes in handy when it's scouting for danger.	It can see clearly through walls to track down its prey and seek its lost young.
406	Budew	4.3	1	3		Over the winter, it closes its bud and endures the cold.	Sensitive to changing temperature, the bud is said to bloom when it feels the sun’s warm touch.
407	Roserade	7.8	3	3		Each of its hands contains different toxins, but both hands can jab with near-fatal power.	After captivating opponents with its sweet scent, it lashes them with its thorny whips.
408	Cranidos	5.9	1	7		A lifelong jungle dweller from 100 million years ago, it would snap obstructing trees with head butts.	It lived in jungles around 100 million years ago.
409	Rampardos	5.56	2	1		Its powerful head butt has enough power to shatter even the most durable things upon impact.	If two were to smash their heads together, their foot-thick skulls would keep them from fainting.
410	Shieldon	5.9	1	5		It is outstandingly armored. As a result, it can eat grass and berries without having to fight.	It was generated from a fossil dug out of a layer of clay that was older than anyone knows.
411	Bastiodon	7.8	3	3		Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.	When they lined up side by side, no foe could break through.
412	Burmy	9.26	5	3		To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.	Even if it is born where there are no cocooning materials, it somehow always ends up with a cloak.
413	Wormadam	8.1	9	3	names:Burmy	When Burmy evolved, its cloak became a part of this Pokémon's body.	When evolving, its body takes in surrounding materials.
414	Mothim	5.8	3	3	names:Combee	It loves the honey of flowers and steals honey collected by Combee.	It flutters around at night and steals honey from the Combee hive.
415	Combee	6.8	3	3		It collects and delivers honey to its colony.	The trio is together from birth. It constantly gathers honey from flowers to please Vespiquen.
416	Vespiquen	7.36	2	4		It houses its colony in cells in its body and releases various pheromones to make those grubs do its bidding.	Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by Combee.
417	Pachirisu	11.7	9	7		A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.	It makes fur balls that crackle with static electricity.
418	Buizel	8.4	3	4		It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.	It swims by rotating its two tails like a screw.
419	Floatzel	7.36	2	5		It is a common sight around fishing ports. It is known to rescue people and carry off prey.	Its flotation sac developed as a result of pursuing aquatic prey.
420	Cherubi	8.2	4	5	override	The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty.	It evolves by sucking the energy out of the small ball where it had been storing nutrients.
421	Cherrim	9.2	4	7		If it senses strong sunlight, it opens its folded petals to absorb the sun's rays with its whole body.	During times of strong sunlight, its bud blooms, its petals open fully, and it becomes very active.
422	Shellos	7.36	2	7		Beware of pushing strongly on its squishy body, as it makes a mysterious purple fluid ooze out.	Its shape and coloration vary, depending on its habitat.
423	Gastrodon	5.56	2	1		It has a pliable body without any bones. If any part of its body is torn off, it grows right back.	It apparently had a huge shell for protection in ancient times.
424	Ambipom	6.8	3	3		To eat, it deftly shucks nuts with its two tails.	Split into two, the tails are so adept at handling and doing things, Ambipom rarely uses its hands.
425	Drifloon	7.8	3	3		Because of the way it floats aimlessly, an old folktale calls it a "Signpost for Wandering Spirits."	A Pokémon formed by the spirits of people and Pokémon.
426	Drifblim	6.8	3	3		At dusk, swarms of them are carried aloft on winds.	It can generate and release gas within its body.
427	Buneary	8.4	3	5		Its ears are always rolled up. They can be forcefully extended to shatter even a large boulder.	When it senses danger, it perks up its ears. On cold nights, it sleeps with its head tucked into its fur.
428	Lopunny	8.4	3	5		The ears appear to be delicate. If they are touched roughly, it kicks with its graceful legs.	Extremely cautious, it quickly bounds off when it senses danger.
429	Mismagius	9.2	4	5		Its cry sounds like an incantation. It is said the cry may rarely be imbued with happiness-giving power.	Its cries sound like incantations to torment the foe.
430	Honchkrow	6.0	4	2	names:Murkrow	It is merciless by nature. It is said that it never forgives the mistakes of its Murkrow followers.	Its goons take care of most of the fighting for it.
431	Glameow	8.4	3	4		When it's happy, Glameow demonstrates beautiful movements of its tail, like a dancing ribbon.	It claws if displeased and purrs when affectionate.
432	Purugly	8.6	4	3		To make itself appear intimidatingly beefy, it tightly cinches its waist with its twin tails.	It would claim another Pokémon's nest as its own if it finds a nest sufficiently comfortable.
433	Chingling	5.9	1	7		There is an orb inside its mouth. When it hops, the orb bounces all over and makes a ringing sound.	It emits cries by agitating an orb at the back of its throat.
434	Stunky	8.4	3	7		It sprays a foul fluid from its rear. Its stench spreads over a mile radius, driving Pokémon away.	It protects itself by spraying a noxious fluid from its rear.
435	Skuntank	6.16	2	2		It attacks by spraying a repugnant fluid from its tail, but the stench dulls after a few squirts.	It sprays a vile-smelling fluid from the tip of its tail to attack.
436	Bronzor	10.42	6	4		Ancient people believed that the pattern on Bronzor's back contained a mysterious power.	Implements shaped like it were discovered in ancient tombs.
437	Bronzong	9.86	5	4		Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.	In ages past, this Pokémon was revered as a bringer of rain.
438	Bonsly	4.1	1	1		It looks as if it is always crying. It is actually adjusting its body's fluid levels by eliminating excess.	In order to adjust the level of fluids in its body, it exudes water from its eyes.
439	Mime Jr.	7.4	3	4		In an attempt to confuse its enemy, it mimics the enemy's movements.	It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon.
440	Happiny	5.9	1	5		It likes to carry around a small rock. It may wander around others' feet and cause them to stumble.	It carries a round, egg-shaped rock in its belly pouch and gives the rock to its friends.
441	Chatot	10.3	7	3		It can learn and speak human words. If they gather, they all learn the same saying.	Its tongue is just like a human's. As a result, it can cleverly mimic human speech.
